NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
gmp-system                    39m         Normal    NotTriggerScaleUp                        pod/alertmanager-0                                                 Pod didn't trigger scale-up:
kube-system                   39m         Normal    NotTriggerScaleUp                        pod/kube-dns-autoscaler-5dc7b666d8-cq7fg                           Pod didn't trigger scale-up:
kube-system                   39m         Normal    Started                                  pod/pdcsi-node-nc9f9                                               Container started
kube-system                   39m         Normal    Killing                                  pod/kube-dns-78d5d95979-p2v8j                                      Stopping container token-broker-adc-init
kube-system                   39m         Normal    Started                                  pod/kube-dns-78d5d95979-p2v8j                                      Container started
kube-system                   39m         Normal    Created                                  pod/pdcsi-node-nc9f9                                               Container created
kube-system                   39m         Normal    Pulling                                  pod/pdcsi-node-nc9f9                                               Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250311_2300_RC0@sha256:e6713a8266629d9e103f7b2c7715bf510170fe28ebe2dc341327fa5e6a0facde"
kube-system                   39m         Normal    Pulled                                   pod/l7-default-backend-58ffbbd58-wvskg                             Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/ingress-gce-404-server-with-metrics:v1.38.7@sha256:bce3b45becb05edaf0fbac1159453a3a1e4d6407be41347f9a8f0114a1b61487" in 2.064s (17.586s including waiting). Image size: 7595136 bytes.
kube-system                   39m         Normal    Killing                                  pod/konnectivity-agent-5446844985-k8xgt                            Stopping container token-broker-adc-init
kube-system                   39m         Normal    Started                                  pod/konnectivity-agent-5446844985-k8xgt                            Container started
kube-system                   39m         Normal    Created                                  pod/l7-default-backend-58ffbbd58-wvskg                             Container created
kube-system                   39m         Normal    Created                                  pod/node-local-dns-6t5fg                                           Container created
kube-system                   39m         Normal    Pulled                                   pod/node-local-dns-6t5fg                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 987ms (18.505s including waiting). Image size: 3374191 bytes.
kube-system                   39m         Warning   FailedKillPod                            pod/konnectivity-agent-5446844985-k8xgt                            error killing pod: failed to "KillContainer" for "token-broker-adc-init" with KillContainerError: "rpc error: code = Unknown desc = failed to stop container \"122c29c7f6a510e813a628137fbc50a00282e2af27e658c0ea711b68bc9cef84\": ttrpc: closed"
kube-system                   39m         Normal    Started                                  pod/node-local-dns-6t5fg                                           Container started
kube-system                   39m         Normal    Started                                  pod/l7-default-backend-58ffbbd58-wvskg                             Container started
kube-system                   39m         Normal    Killing                                  pod/l7-default-backend-58ffbbd58-wvskg                             Stopping container default-http-backend
kube-system                   39m         Normal    Pulled                                   pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.8@sha256:437ad59d9fe3b37db75e0c1f5d74fe227abbba720bde166f52f3d71096b69aaf" in 3.528s (19.279s including waiting). Image size: 13824914 bytes.
kube-system                   39m         Normal    Pulling                                  pod/node-local-dns-6t5fg                                           Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
kube-system                   39m         Normal    Created                                  pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 Container created
kube-system                   39m         Normal    Started                                  pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 Container started
kube-system                   39m         Normal    Killing                                  pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 Stopping container autoscaler
kube-system                   39m         Normal    Created                                  pod/kube-dns-autoscaler-5dc7b666d8-wp4pz                           Container created
kube-system                   39m         Normal    Pulled                                   pod/kube-dns-autoscaler-5dc7b666d8-wp4pz                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.2@sha256:608476c370ab6d23cf62b3cb470b0480c446ff43fc6fa48959aa5d90f235722e" in 3.714s (22.114s including waiting). Image size: 14214756 bytes.
kube-system                   39m         Normal    Killing                                  pod/kube-dns-autoscaler-5dc7b666d8-wp4pz                           Stopping container autoscaler
kube-system                   39m         Normal    Started                                  pod/kube-dns-autoscaler-5dc7b666d8-wp4pz                           Container started
gmp-system                    39m         Normal    Created                                  pod/gmp-operator-6875fdf876-rlwlh                                  Container created
gmp-system                    39m         Normal    Pulled                                   pod/gmp-operator-6875fdf876-rlwlh                                  Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/operator:v0.18.1-gke.2@sha256:d025fbed450a8c9849188630878834a18fcffb7c2916798be1308bea930fe838" in 5.692s (24.79s including waiting). Image size: 49656818 bytes.
kube-system                   39m         Normal    Created                                  pod/event-exporter-gke-7dc55f4f5f-6k5kj                            Container created
kube-system                   39m         Normal    Pulled                                   pod/event-exporter-gke-7dc55f4f5f-6k5kj                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260716.00_p0@sha256:134942efd2defb12c04345e6713ea73613466b7b281d2800c287b51c55ec0b00" in 1.17s (25.586s including waiting). Image size: 3338535 bytes.
gmp-system                    39m         Normal    Killing                                  pod/gmp-operator-6875fdf876-rlwlh                                  Stopping container operator
gmp-system                    39m         Normal    Started                                  pod/gmp-operator-6875fdf876-rlwlh                                  Container started
kube-system                   39m         Normal    Created                                  pod/metrics-server-v1.35.1-6559d8569d-c2m47                        Container created
kube-system                   39m         Normal    Created                                  pod/metrics-server-v1.35.1-78f45667d-ptnww                         Container created
kube-system                   39m         Normal    Started                                  pod/event-exporter-gke-7dc55f4f5f-6k5kj                            Container started
kube-system                   39m         Normal    Pulled                                   pod/metrics-server-v1.35.1-6559d8569d-c2m47                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.23@sha256:208c1ced1b6a551a067e526b616caf0e0da8fa98a60b3d22e9177c86563d17d0" in 4.658s (26.472s including waiting). Image size: 22695603 bytes.
kube-system                   39m         Normal    Pulled                                   pod/metrics-server-v1.35.1-78f45667d-ptnww                         Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.23@sha256:208c1ced1b6a551a067e526b616caf0e0da8fa98a60b3d22e9177c86563d17d0" in 814ms (26.067s including waiting). Image size: 22695603 bytes.
kube-system                   39m         Normal    Killing                                  pod/event-exporter-gke-7dc55f4f5f-6k5kj                            Stopping container token-broker-adc-init
kube-system                   39m         Normal    Started                                  pod/metrics-server-v1.35.1-6559d8569d-c2m47                        Container started
kube-system                   39m         Normal    Started                                  pod/metrics-server-v1.35.1-78f45667d-ptnww                         Container started
kube-system                   39m         Normal    Killing                                  pod/metrics-server-v1.35.1-6559d8569d-c2m47                        Stopping container metrics-server
kube-system                   39m         Normal    Killing                                  pod/metrics-server-v1.35.1-78f45667d-ptnww                         Stopping container metrics-server
gke-managed-cim               39m         Normal    Pulled                                   pod/kube-state-metrics-0                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/kube-state-metrics:v2.14.0-gke.58@sha256:04af0a0c7c400073ade2a5cb1b452df7ec3af5b55fba5718dc13b1629ed73a7d" in 4.598s (29.697s including waiting). Image size: 15894304 bytes.
gke-managed-cim               39m         Normal    Created                                  pod/kube-state-metrics-0                                           Container created
gke-managed-cim               39m         Normal    Pulling                                  pod/kube-state-metrics-0                                           Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260113_2300_RC0@sha256:5eb81dc265af031294a413a32fde1b59d5b8480e3f131a09b5a1059294aefd99"
kube-system                   39m         Normal    Created                                  pod/gke-metrics-agent-wrvtz                                        Container created
kube-system                   39m         Normal    Pulled                                   pod/gke-metrics-agent-wrvtz                                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5" in 5.281s (27.658s including waiting). Image size: 25459396 bytes.
gke-managed-cim               39m         Normal    Started                                  pod/kube-state-metrics-0                                           Container started
kube-system                   39m         Normal    Started                                  pod/gke-metrics-agent-wrvtz                                        Container started
kube-system                   39m         Normal    Pulled                                   pod/fluentbit-gke-lbhr6                                            Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260617_2300_RC0@sha256:c8cd71f5cd9f076b55e3f1db733e6adacd6ad3cfabaa9eb467b0ece8e691d73b" already present on machine and can be accessed by the pod
kube-system                   39m         Normal    Started                                  pod/fluentbit-gke-lbhr6                                            Container started
kube-system                   39m         Normal    Pulled                                   pod/pdcsi-node-nc9f9                                               Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250311_2300_RC0@sha256:e6713a8266629d9e103f7b2c7715bf510170fe28ebe2dc341327fa5e6a0facde" in 4.017s (19.807s including waiting). Image size: 25809711 bytes.
kube-system                   39m         Normal    Pulled                                   pod/fluentbit-gke-lbhr6                                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e" in 4.525s (25.739s including waiting). Image size: 36248865 bytes.
kube-system                   39m         Normal    Created                                  pod/fluentbit-gke-lbhr6                                            Container created
kube-system                   39m         Normal    Created                                  pod/pdcsi-node-nc9f9                                               Container created
kube-system                   39m         Normal    Created                                  pod/fluentbit-gke-lbhr6                                            Container created
kube-system                   39m         Normal    Started                                  pod/pdcsi-node-nc9f9                                               Container started
kube-system                   39m         Normal    Pulling                                  pod/pdcsi-node-nc9f9                                               Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.34@sha256:b38f4e46ad46c1f83f550d695812296b8d2d6a211c3fc0633f28979b0e958516"
kube-system                   39m         Normal    Started                                  pod/fluentbit-gke-lbhr6                                            Container started
gke-managed-cim               39m         Normal    Created                                  pod/kube-state-metrics-0                                           Container created
gke-managed-cim               39m         Normal    Pulled                                   pod/kube-state-metrics-0                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260113_2300_RC0@sha256:5eb81dc265af031294a413a32fde1b59d5b8480e3f131a09b5a1059294aefd99" in 3.36s (7.473s including waiting). Image size: 26332537 bytes.
gke-managed-cim               39m         Normal    Killing                                  pod/kube-state-metrics-0                                           Stopping container ksm-metrics-collector
gke-managed-cim               39m         Normal    Killing                                  pod/kube-state-metrics-0                                           Stopping container kube-state-metrics
gke-managed-cim               39m         Normal    Started                                  pod/kube-state-metrics-0                                           Container started
kube-system                   39m         Warning   FailedKillPod                            pod/event-exporter-gke-7dc55f4f5f-6k5kj                            error killing pod: failed to "KillContainer" for "token-broker-adc-init" with KillContainerError: "rpc error: code = Unknown desc = failed to stop container \"11beea7779073016cd9cf8215d759e356918c7f8b7fbcfe0195c9e0c1e7276ef\": ttrpc: closed"
kube-system                   38m         Normal    Pulled                                   pod/pdcsi-node-nc9f9                                               Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.34@sha256:b38f4e46ad46c1f83f550d695812296b8d2d6a211c3fc0633f28979b0e958516" in 4.113s (6.527s including waiting). Image size: 14461369 bytes.
kube-system                   38m         Normal    Created                                  pod/pdcsi-node-nc9f9                                               Container created
kube-system                   38m         Normal    Pulled                                   pod/node-local-dns-6t5fg                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7" in 8.303s (23.888s including waiting). Image size: 52897804 bytes.
kube-system                   38m         Normal    Created                                  pod/node-local-dns-6t5fg                                           Container created
kube-system                   38m         Normal    Pulling                                  pod/node-local-dns-6t5fg                                           Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260422_2300_RC0@sha256:70625564549ccc35d34e119dd3e3d5e2f841be9c309940d3ed5bb4e649a3c59f"
gke-managed-cim               38m         Normal    NotTriggerScaleUp                        pod/kube-state-metrics-0                                           Pod didn't trigger scale-up:
kube-system                   38m         Normal    Started                                  pod/node-local-dns-6t5fg                                           Container started
gke-managed-cim               38m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                           0/1 nodes are available: 1 node(s) were unschedulable. no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   38m         Normal    Started                                  pod/pdcsi-node-nc9f9                                               Container started
kube-system                   38m         Normal    Created                                  pod/node-local-dns-6t5fg                                           Container created
kube-system                   38m         Normal    Started                                  pod/node-local-dns-6t5fg                                           Container started
kube-system                   38m         Normal    Pulled                                   pod/node-local-dns-6t5fg                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260422_2300_RC0@sha256:70625564549ccc35d34e119dd3e3d5e2f841be9c309940d3ed5bb4e649a3c59f" in 2.479s (2.479s including waiting). Image size: 26354407 bytes.
kube-system                   38m         Normal    LeaderElection                           lease/service-steering.networking.gke.io                           gke-a4ad5f791ee9462391e0-79d6-e40e-vm_9ff2fde7-b56b-4cf7-a6d8-7a13f82f19ab became leader
kube-system                   38m         Normal    LeaderElection                           lease/vpa-recommender                                              gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
gke-managed-cim               34m         Warning   FailedGetResourceMetric                  horizontalpodautoscaler/kube-state-metrics                         unable to get metric memory: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
kube-system                   37m         Warning   NodeNotReady                             pod/netd-drwst                                                     Node is not ready
kube-system                   37m         Warning   NodeNotReady                             pod/gke-metrics-agent-wrvtz                                        Node is not ready
kube-system                   37m         Warning   NodeNotReady                             pod/pdcsi-node-nc9f9                                               Node is not ready
kube-system                   37m         Warning   NodeNotReady                             pod/fluentbit-gke-lbhr6                                            Node is not ready
kube-system                   37m         Warning   NodeNotReady                             pod/anetd-2r7gz                                                    Node is not ready
default                       37m         Normal    NodeNotReady                             node/gke-portable-voting-default-pool-2393733d-3flq                Node gke-portable-voting-default-pool-2393733d-3flq status is now: NodeNotReady
default                       37m         Normal    DeletingNode                             node/gke-portable-voting-default-pool-2393733d-3flq                Deleting node gke-portable-voting-default-pool-2393733d-3flq because it does not exist in the cloud provider
default                       37m         Normal    RemovingNode                             node/gke-portable-voting-default-pool-2393733d-3flq                Node gke-portable-voting-default-pool-2393733d-3flq event: Removing Node gke-portable-voting-default-pool-2393733d-3flq from Controller
default                       35m         Normal    NodeAllocatableEnforced                  node/gke-portable-voting-default-pool-cc21b921-hl2v                Updated Node Allocatable limit across pods
default                       35m         Normal    Starting                                 node/gke-portable-voting-default-pool-cc21b921-hl2v                Starting kubelet.
default                       35m         Warning   InvalidDiskCapacity                      node/gke-portable-voting-default-pool-cc21b921-hl2v                invalid capacity 0 on image filesystem
default                       35m         Normal    NodeHasSufficientMemory                  node/gke-portable-voting-default-pool-cc21b921-hl2v                Node gke-portable-voting-default-pool-cc21b921-hl2v status is now: NodeHasSufficientMemory
default                       35m         Normal    NodeHasNoDiskPressure                    node/gke-portable-voting-default-pool-cc21b921-hl2v                Node gke-portable-voting-default-pool-cc21b921-hl2v status is now: NodeHasNoDiskPressure
default                       35m         Normal    NodeHasSufficientPID                     node/gke-portable-voting-default-pool-cc21b921-hl2v                Node gke-portable-voting-default-pool-cc21b921-hl2v status is now: NodeHasSufficientPID
kube-system                   35m         Normal    Scheduled                                pod/node-local-dns-vmlt6                                           Successfully assigned kube-system/node-local-dns-vmlt6 to gke-portable-voting-default-pool-cc21b921-hl2v
gmp-system                    35m         Normal    SuccessfulCreate                         daemonset/collector                                                Created pod: collector-n9zbf
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/gke-metrics-agent                                        Created pod: gke-metrics-agent-slgq6
gmp-system                    35m         Warning   FailedScheduling                         pod/gmp-operator-6875fdf876-vzg2n                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/netd                                                     Created pod: netd-cw88m
default                       35m         Normal    Synced                                   node/gke-portable-voting-default-pool-cc21b921-hl2v                Node synced successfully
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/pdcsi-node                                               Created pod: pdcsi-node-xbn5r
kube-system                   35m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-5f556bf8c6-pr5xs       0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    Scheduled                                pod/fluentbit-gke-mqlk7                                            Successfully assigned kube-system/fluentbit-gke-mqlk7 to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Warning   FailedMount                              pod/node-local-dns-vmlt6                                           MountVolume.SetUp failed for volume "nodelocaldns-metrics-collector-config-map-vol" : object "kube-system"/"nodelocaldns-metrics-collector-config-map" not registered
kube-system                   35m         Warning   FailedScheduling                         pod/konnectivity-agent-5446844985-c46v8                            0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Warning   FailedScheduling                         pod/l7-default-backend-58ffbbd58-gr22t                             0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Warning   FailedMount                              pod/node-local-dns-vmlt6                                           MountVolume.SetUp failed for volume "config-volume" : object "kube-system"/"node-local-dns" not registered
kube-system                   35m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-6559d8569d-vttnf                        0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
gke-managed-cim               35m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                           0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Warning   FailedMount                              pod/node-local-dns-vmlt6                                           MountVolume.SetUp failed for volume "kube-dns-config" : object "kube-system"/"kube-dns" not registered
kube-system                   35m         Warning   FailedScheduling                         pod/konnectivity-agent-autoscaler-685569f784-vb7c2                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    Scheduled                                pod/gke-metrics-agent-slgq6                                        Successfully assigned kube-system/gke-metrics-agent-slgq6 to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-78f45667d-2k56n                         0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    Scheduled                                pod/pdcsi-node-xbn5r                                               Successfully assigned kube-system/pdcsi-node-xbn5r to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Warning   NetworkNotReady                          pod/node-local-dns-vmlt6                                           network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
kube-system                   35m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5dc7b666d8-cq7fg                           0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/anetd                                                    Created pod: anetd-bf4p6
gmp-system                    35m         Warning   FailedScheduling                         pod/rule-evaluator-79c78c4fd5-gws5x                                0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Warning   FailedScheduling                         pod/kube-dns-78d5d95979-t7tnw                                      0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/node-local-dns                                           Created pod: node-local-dns-vmlt6
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/fluentbit-gke                                            Created pod: fluentbit-gke-mqlk7
gmp-system                    35m         Normal    Scheduled                                pod/collector-n9zbf                                                Successfully assigned gmp-system/collector-n9zbf to gke-portable-voting-default-pool-cc21b921-hl2v
gmp-system                    35m         Warning   FailedMount                              pod/collector-n9zbf                                                MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
gmp-system                    35m         Warning   FailedScheduling                         pod/alertmanager-0                                                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   35m         Normal    Scheduled                                pod/anetd-bf4p6                                                    Successfully assigned kube-system/anetd-bf4p6 to gke-portable-voting-default-pool-cc21b921-hl2v
default                       35m         Warning   NodeRegistrationCheckerStart             node/gke-portable-voting-default-pool-cc21b921-hl2v                Thu Aug 20 10:16:21 UTC 2026 - ** Starting Node Registration Checker **
gmp-system                    35m         Warning   NetworkNotReady                          pod/collector-n9zbf                                                network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
gmp-system                    35m         Warning   FailedMount                              pod/collector-n9zbf                                                MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
kube-system                   35m         Warning   FailedScheduling                         pod/event-exporter-gke-7dc55f4f5f-fdvkm                            0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
gmp-system                    35m         Warning   FailedMount                              pod/collector-n9zbf                                                MountVolume.SetUp failed for volume "kube-api-access-kz9k6" : object "gmp-system"/"kube-root-ca.crt" not registered
kube-system                   35m         Normal    Scheduled                                pod/netd-cw88m                                                     Successfully assigned kube-system/netd-cw88m to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Normal    Pulling                                  pod/fluentbit-gke-mqlk7                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
default                       35m         Normal    RegisteredNode                           node/gke-portable-voting-default-pool-cc21b921-hl2v                Node gke-portable-voting-default-pool-cc21b921-hl2v event: Registered Node gke-portable-voting-default-pool-cc21b921-hl2v in Controller
kube-system                   35m         Normal    Pulling                                  pod/gke-metrics-agent-slgq6                                        Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   35m         Normal    Pulling                                  pod/pdcsi-node-xbn5r                                               Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   35m         Normal    Pulled                                   pod/netd-cw88m                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/netd-init:v0.10.12-gke.16@sha256:7c17ea472a942f1c612d26e240c15c79d9d0e9d4339010983785563559a11cdc" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Pulled                                   pod/anetd-bf4p6                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/anet/cni-writer:v0.1.40-gke.0@sha256:67f53cef809fb894cad4b99137539fe57f46a6a1e0346b1cd1f598fd92801093" already present on machine and can be accessed by the pod
default                       35m         Warning   NodeSysctlChange                         node/gke-portable-voting-default-pool-cc21b921-hl2v                Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
kube-system                   35m         Normal    Started                                  pod/anetd-bf4p6                                                    Container started
default                       35m         Warning   ContainerdStart                          node/gke-portable-voting-default-pool-cc21b921-hl2v                Starting containerd.service...
kube-system                   35m         Normal    Created                                  pod/anetd-bf4p6                                                    Container created
kube-system                   35m         Normal    Pulled                                   pod/anetd-bf4p6                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cilium/cilium:v1.18.7-gke1.35-gke.14@sha256:2170ed688661e1b038eaed32840e7d207a13589471bd7251ccc0c184cbb1eb3f" already present on machine and can be accessed by the pod
default                       35m         Warning   DockerStart                              node/gke-portable-voting-default-pool-cc21b921-hl2v                Starting docker.service...
default                       35m         Warning   KubeletStart                             node/gke-portable-voting-default-pool-cc21b921-hl2v                Started kubelet.service.
default                       35m         Normal    NodeReady                                node/gke-portable-voting-default-pool-cc21b921-hl2v                Node gke-portable-voting-default-pool-cc21b921-hl2v status is now: NodeReady
kube-system                   35m         Normal    Scheduled                                pod/metrics-server-v1.35.1-6559d8569d-vttnf                        Successfully assigned kube-system/metrics-server-v1.35.1-6559d8569d-vttnf to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Normal    Scheduled                                pod/kube-dns-autoscaler-5dc7b666d8-cq7fg                           Successfully assigned kube-system/kube-dns-autoscaler-5dc7b666d8-cq7fg to gke-portable-voting-default-pool-cc21b921-hl2v
gmp-system                    35m         Warning   FailedMount                              pod/alertmanager-0                                                 MountVolume.SetUp failed for volume "config" : secret "alertmanager" not found
kube-system                   35m         Normal    Scheduled                                pod/antrea-controller-horizontal-autoscaler-5f556bf8c6-pr5xs       Successfully assigned kube-system/antrea-controller-horizontal-autoscaler-5f556bf8c6-pr5xs to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Normal    Scheduled                                pod/konnectivity-agent-autoscaler-685569f784-vb7c2                 Successfully assigned kube-system/konnectivity-agent-autoscaler-685569f784-vb7c2 to gke-portable-voting-default-pool-cc21b921-hl2v
gmp-system                    35m         Normal    Scheduled                                pod/alertmanager-0                                                 Successfully assigned gmp-system/alertmanager-0 to gke-portable-voting-default-pool-cc21b921-hl2v
gke-managed-cim               35m         Normal    Scheduled                                pod/kube-state-metrics-0                                           Successfully assigned gke-managed-cim/kube-state-metrics-0 to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Normal    Scheduled                                pod/metrics-server-v1.35.1-78f45667d-2k56n                         Successfully assigned kube-system/metrics-server-v1.35.1-78f45667d-2k56n to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Normal    Scheduled                                pod/event-exporter-gke-7dc55f4f5f-fdvkm                            Successfully assigned kube-system/event-exporter-gke-7dc55f4f5f-fdvkm to gke-portable-voting-default-pool-cc21b921-hl2v
default                       35m         Warning   ReadOnlyFileSystemDetected               node/gke-portable-voting-default-pool-cc21b921-hl2v
gmp-system                    35m         Normal    Scheduled                                pod/gmp-operator-6875fdf876-vzg2n                                  Successfully assigned gmp-system/gmp-operator-6875fdf876-vzg2n to gke-portable-voting-default-pool-cc21b921-hl2v
